text,category,option1,option2,option3,option4,correctAnswer,difficulty
Which function generates a dynamic sequence of numbers in Excel?,Dynamic Array Functions,RAND,SEQUENCE,COUNT,INDEX,1,3
Which function allows stacking multiple arrays vertically?,Dynamic Array Functions,TRANSPOSE,VSTACK,CHOOSE,FILTER,1,3
What does the TRANSPOSE function do in Excel?,Math Functions,Converts rows into columns,Sorts values,Calculates averages,Removes duplicates,0,3
Which function is most appropriate for generating a random integer between two values?,Math Functions,RAND,RANDBETWEEN,ROUND,COUNT,1,3
Which function calculates the periodic payment for a loan based on interest rate and number of periods?,Financial Functions,FV,PMT,NPV,PV,1,3
Which function determines the present value of future payments?,Financial Functions,PV,FV,PMT,NPV,0,3
Which function calculates the future value of an investment based on periodic payments?,Financial Functions,FV,PMT,PV,NPV,0,3
Which financial function evaluates the profitability of a project by discounting future cash flows?,Financial Functions,PMT,NPV,FV,COUNT,1,3
Which function calculates the internal rate of return when cash flows occur at irregular intervals?,Financial Functions,IRR,XIRR,NPV,PMT,1,3
Calculated fields in PivotTables are primarily used to:,PivotTables,Apply conditional formatting,Perform custom calculations using existing fields,Filter pivot results,Group rows,1,3
Which feature allows PivotTables to display results visually in dashboards?,PivotTables,PivotCharts,Flash Fill,Scenario Manager,Goal Seek,0,3
Custom measures in Power Pivot are written using which language?,Power Pivot,SQL,DAX,VBA,Python,1,3
What happens when a PivotTable is refreshed?,PivotTables,Formatting changes,Underlying source data updates,Charts are deleted,Tables are merged,1,3
Which feature ensures users can only enter values from a predefined list?,Data Validation,Conditional Formatting,Dropdown list validation,Goal Seek,Scenario Manager,1,3
Which type of sorting allows arranging data by multiple columns sequentially?,Advanced Sorting,Single-level sort,Multi-level sort,Random sort,Pivot sort,1,3
Advanced filtering in Excel differs from standard filtering because it:,Advanced Filtering,Deletes rows,Uses a criteria range for complex conditions,Creates charts,Formats data automatically,1,3
Conditional formatting using formulas allows users to:,Conditional Formatting,Apply formatting based on logical conditions,Delete duplicates,Create PivotTables,Insert charts,0,3
Which conditional formatting tool displays colored bars representing cell values?,Conditional Formatting,Color Scales,Icon Sets,Data Bars,Sparkline,2,3
Which conditional formatting option uses symbols such as arrows or flags to indicate performance?,Conditional Formatting,Icon Sets,Data Bars,Color Scales,Borders,0,3
Which chart type is best suited to show cumulative increases and decreases in financial data?,Advanced Charts,Waterfall Chart,Pie Chart,Radar Chart,Scatter Plot,0,3
Combo charts are useful because they:,Advanced Charts,Combine different chart types in one visualization,Automatically calculate totals,Sort datasets,Remove duplicates,0,3
What is the primary purpose of sparklines in Excel?,Advanced Visualization,Display small trend charts within cells,Replace PivotTables,Sort datasets,Generate formulas,0,3
Goal Seek is used when you:,Data Analysis Tools,Know the desired result but need to find the input value,Need to create PivotTables,Sort large datasets,Apply formatting,0,3
Scenario Manager helps analysts:,Data Analysis Tools,Compare multiple possible sets of input values,Create charts automatically,Delete duplicates,Filter datasets,0,3
Solver is primarily used for:,Data Analysis Tools,Optimization problems with constraints,Formatting cells,Sorting columns,Creating PivotTables,0,3
